id,node,batchsize,delay,tx,send,round
7,16,1000,1.3635494709014893,4000,290,0
7,16,1000,1.8859171867370605,8000,330,1
12,16,1000,1.2761430740356445,4000,290,0
12,16,1000,1.9505910873413086,8000,340,1
6,16,1000,1.7275700569152832,4000,250,0
6,16,1000,1.8960704803466797,8000,290,1
1,16,1000,1.6584398746490479,3000,292,0
1,16,1000,1.4991569519042969,7000,268,1
0,16,1000,1.934373378753662,3000,260,0
0,16,1000,1.4935154914855957,7000,290,1
3,16,1000,2.062760829925537,3000,320,0
3,16,1000,1.506230115890503,7000,230,1
15,16,1000,1.102553367614746,4000,330,0
15,16,1000,1.922783613204956,8000,220,1
11,16,1000,1.519864797592163,4000,330,0
11,16,1000,2.0111732482910156,8000,220,1
10,16,1000,1.2555747032165527,4000,260,0
10,16,1000,1.927074909210205,8000,290,1
2,16,1000,1.643247127532959,3000,304,0
2,16,1000,1.511096715927124,7000,316,1
13,16,1000,1.064401388168335,4000,244,0
13,16,1000,1.9414207935333252,8000,292,1
14,16,1000,1.5799474716186523,4000,260,0
14,16,1000,1.9307396411895752,8000,290,1
9,16,1000,1.2176783084869385,4000,256,0
9,16,1000,2.009230613708496,8000,304,1
8,16,1000,1.7101693153381348,4000,290,0
8,16,1000,2.0109078884124756,8000,340,1
4,16,1000,1.4128668308258057,4000,250,0
4,16,1000,1.8903441429138184,8000,280,1
5,16,1000,1.343010663986206,4000,250,0
5,16,1000,1.8203530311584473,8000,280,1
7,16,2000,1.6089470386505127,8000,290,0
7,16,2000,1.9184222221374512,16000,330,1
12,16,2000,1.7329034805297852,8000,290,0
12,16,2000,2.0563466548919678,16000,330,1
6,16,2000,1.8258044719696045,8000,240,0
6,16,2000,1.922797441482544,16000,300,1
1,16,2000,1.7168638706207275,6000,292,0
1,16,2000,1.612706184387207,14000,268,1
0,16,2000,1.9475231170654297,6000,280,0
0,16,2000,1.6010410785675049,14000,270,1
3,16,2000,1.9851515293121338,6000,300,0
3,16,2000,1.6243138313293457,14000,250,1
15,16,2000,1.1754961013793945,8000,290,0
15,16,2000,2.009485960006714,16000,260,1
11,16,2000,1.188629388809204,8000,290,0
11,16,2000,2.173548936843872,16000,260,1
10,16,2000,1.1902189254760742,8000,270,0
10,16,2000,2.0835461616516113,16000,280,1
2,16,2000,1.6775319576263428,6000,304,0
2,16,2000,1.5417892932891846,14000,316,1
13,16,2000,1.4464643001556396,8000,244,0
13,16,2000,2.046590566635132,16000,292,1
14,16,2000,1.1500763893127441,8000,260,0
14,16,2000,2.0174009799957275,16000,290,1
9,16,2000,1.4978365898132324,8000,256,0
9,16,2000,2.082019567489624,16000,304,1
8,16,2000,1.560009479522705,8000,290,0
8,16,2000,2.087460994720459,16000,330,1
4,16,2000,1.4625654220581055,8000,220,0
4,16,2000,1.902827262878418,16000,320,1
5,16,2000,1.405710220336914,8000,230,0
5,16,2000,1.90647292137146,16000,310,1
7,16,3000,1.4390177726745605,12000,240,0
7,16,3000,2.0300955772399902,24000,330,1
12,16,3000,1.183403491973877,12000,240,0
12,16,3000,2.13565993309021,24000,330,1
6,16,3000,1.7085142135620117,12000,230,0
6,16,3000,2.022245168685913,24000,320,1
1,16,3000,1.706038236618042,12000,292,0
1,16,3000,1.7852919101715088,24000,268,1
0,16,3000,1.4198122024536133,12000,260,0
0,16,3000,1.682448387145996,24000,290,1
3,16,3000,1.8939473628997803,12000,280,0
3,16,3000,1.8697736263275146,24000,270,1
15,16,3000,1.1462500095367432,12000,280,0
15,16,3000,2.095261573791504,24000,270,1
11,16,3000,1.3336975574493408,12000,270,0
11,16,3000,2.198234796524048,24000,280,1
10,16,3000,1.7134346961975098,12000,260,0
10,16,3000,2.2673897743225098,24000,290,1
2,16,3000,1.4120042324066162,12000,244,0
2,16,3000,1.88671875,24000,316,1
13,16,3000,1.835728406906128,12000,244,0
13,16,3000,2.0739920139312744,24000,292,1
14,16,3000,1.4649755954742432,12000,270,0
14,16,3000,2.106049060821533,24000,280,1
9,16,3000,1.5221478939056396,12000,256,0
9,16,3000,2.194296360015869,24000,304,1
8,16,3000,1.3479564189910889,12000,240,0
8,16,3000,2.247126817703247,24000,330,1
4,16,3000,1.4397499561309814,12000,230,0
